,Image,TruePositives,FalseNegatives,FalsePositives,Percision,Recall,PreProcessTruePositives,PreProcessFalseNegatives,PreProcessFalsePositives,PreProcessPercision,PreProcessRecall
62,M142_1015935949_0005_0029_Back.jpg,3,52,87,0.03333333333333333,0.05454545454545454,4,51,16,0.2,0.07272727272727272
63,M142_1015935949_0002_0036_Back.jpg,1,47,145,0.00684931506849315,0.020833333333333332,2,46,575,0.0034662045060658577,0.041666666666666664
64,M142_1015935949_0002_0014_Back.jpg,1,33,37,0.02631578947368421,0.029411764705882353,0,34,0,,0.0
65,M142_1015935949_0004_0011_Back.jpg,0,0,455,0.0,,0,0,346,0.0,
66,M142_1015935949_0034_0071_Back.jpg,0,22,15,0.0,0.0,5,17,9,0.35714285714285715,0.22727272727272727
67,M142_1015935949_0001_0071_Back.jpg,0,23,124,0.0,0.0,1,22,235,0.00423728813559322,0.043478260869565216
68,M142_1015935949_0014_0028_Back.jpg,15,6,8,0.6521739130434783,0.7142857142857143,2,19,17,0.10526315789473684,0.09523809523809523
69,M142_1015935949_0033_0002_Back.jpg,0,0,16,0.0,,0,0,7,0.0,
70,M142_1015935949_0036_0002_Back.jpg,0,28,0,,0.0,0,28,2,0.0,0.0
71,M142_1015935949_0034_0004_Back.jpg,0,0,3,0.0,,0,0,1,0.0,
72,M142_1015935949_0015_0008_Back.jpg,1,53,53,0.018518518518518517,0.018518518518518517,1,53,46,0.02127659574468085,0.018518518518518517
73,M142_1015935949_0001_0107_Back.jpg,0,90,0,,0.0,0,90,7,0.0,0.0
74,M142_1015935949_0002_0043_Back.jpg,0,39,39,0.0,0.0,2,37,55,0.03508771929824561,0.05128205128205128
75,M142_1015935949_0016_0010_Back.jpg,0,23,43,0.0,0.0,1,22,45,0.021739130434782608,0.043478260869565216
76,M142_1015935949_0010_0007_Back.jpg,2,33,40,0.047619047619047616,0.05714285714285714,6,29,37,0.13953488372093023,0.17142857142857143
77,M142_1015935949_0006_0001_Back.jpg,0,16,244,0.0,0.0,0,16,67,0.0,0.0
78,M142_1015935949_0027_0013_Back.jpg,0,32,0,,0.0,2,30,38,0.05,0.0625
79,M142_1015935949_0027_0016_Back.jpg,0,29,39,0.0,0.0,0,29,0,,0.0
80,M142_1015935949_0011_0001_Back.jpg,3,39,28,0.0967741935483871,0.07142857142857142,7,35,17,0.2916666666666667,0.16666666666666666
